# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Weight field  : p
# Time          	weightedAverage(phi)	weightedAverage(U)	weightedAverage(p)
5.95            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53568904e+00
6               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53563196e+00
6.05            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53557874e+00
6.1             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53552926e+00
6.15            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53548325e+00
6.2             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53544056e+00
6.25            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53540100e+00
6.3             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53536438e+00
6.35            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53533055e+00
6.4             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53529942e+00
6.45            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53527070e+00
6.5             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53524435e+00
6.55            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53522022e+00
6.6             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53519820e+00
6.65            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53517809e+00
6.7             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53515991e+00
6.75            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53514341e+00
6.8             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53512858e+00
6.85            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53511530e+00
6.9             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53510344e+00
6.95            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53509299e+00
7               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53508376e+00
7.05            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53507579e+00
7.1             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53506889e+00
7.15            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53506306e+00
7.2             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53505825e+00
7.25            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53505427e+00
7.3             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53505124e+00
7.35            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53504893e+00
7.4             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53504741e+00
7.45            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53504657e+00
7.5             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53504633e+00
7.55            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53504676e+00
7.6             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53504855e+00
7.65            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53504819e+00
7.7             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53504999e+00
7.75            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53505425e+00
7.8             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53505548e+00
7.85            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53505949e+00
7.9             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53506244e+00
7.95            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53506598e+00
8               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53506992e+00
8.05            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53507406e+00
8.1             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53507836e+00
8.15            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53508287e+00
8.2             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53508749e+00
8.25            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53509227e+00
8.3             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53509713e+00
8.35            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53510207e+00
8.4             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53510707e+00
