# Region type : patch outlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Time          	max(U)	max(p)
8.3             	(1.03405642e+00 2.20098689e-08 0.00000000e+00)	0.00000000e+00
8.35            	(1.03830107e+00 2.17802558e-08 0.00000000e+00)	0.00000000e+00
8.4             	(1.04252493e+00 2.15923079e-08 0.00000000e+00)	0.00000000e+00
8.45            	(1.04672810e+00 2.13318075e-08 0.00000000e+00)	0.00000000e+00
8.5             	(1.05091067e+00 2.10617682e-08 0.00000000e+00)	0.00000000e+00
8.55            	(1.05507275e+00 2.07795843e-08 0.00000000e+00)	0.00000000e+00
8.6             	(1.05921444e+00 2.04839539e-08 0.00000000e+00)	0.00000000e+00
8.65            	(1.06333584e+00 2.01807461e-08 0.00000000e+00)	0.00000000e+00
8.7             	(1.06743703e+00 1.99285940e-08 0.00000000e+00)	0.00000000e+00
8.75            	(1.07151813e+00 1.96842867e-08 0.00000000e+00)	0.00000000e+00
8.8             	(1.07557922e+00 1.94336209e-08 0.00000000e+00)	0.00000000e+00
8.85            	(1.07962041e+00 1.91779510e-08 0.00000000e+00)	0.00000000e+00
8.9             	(1.08364179e+00 1.89186029e-08 0.00000000e+00)	0.00000000e+00
8.95            	(1.08764346e+00 1.86567259e-08 0.00000000e+00)	0.00000000e+00
9               	(1.09162552e+00 1.83931042e-08 0.00000000e+00)	0.00000000e+00
9.05            	(1.09558805e+00 1.81281887e-08 0.00000000e+00)	0.00000000e+00
9.1             	(1.09953116e+00 1.78621855e-08 0.00000000e+00)	0.00000000e+00
9.15            	(1.10345495e+00 1.75951992e-08 0.00000000e+00)	0.00000000e+00
9.2             	(1.10735949e+00 1.73272656e-08 0.00000000e+00)	0.00000000e+00
9.25            	(1.11124490e+00 1.70583997e-08 0.00000000e+00)	0.00000000e+00
9.3             	(1.11511126e+00 1.67885928e-08 0.00000000e+00)	0.00000000e+00
9.35            	(1.11895867e+00 1.65178356e-08 0.00000000e+00)	0.00000000e+00
9.4             	(1.12278723e+00 1.62061847e-08 0.00000000e+00)	0.00000000e+00
9.45            	(1.12659702e+00 1.59689402e-08 0.00000000e+00)	0.00000000e+00
9.5             	(1.13038813e+00 1.57511453e-08 0.00000000e+00)	0.00000000e+00
9.55            	(1.13416066e+00 1.55084333e-08 0.00000000e+00)	0.00000000e+00
9.6             	(1.13791470e+00 1.52486347e-08 0.00000000e+00)	0.00000000e+00
9.65            	(1.14165034e+00 1.49836740e-08 0.00000000e+00)	0.00000000e+00
9.7             	(1.14536768e+00 1.46585416e-08 0.00000000e+00)	0.00000000e+00
9.75            	(1.14906680e+00 1.43605924e-08 0.00000000e+00)	0.00000000e+00
9.8             	(1.15274780e+00 1.40984630e-08 0.00000000e+00)	0.00000000e+00
9.85            	(1.15641076e+00 1.38431815e-08 0.00000000e+00)	0.00000000e+00
9.9             	(1.16005577e+00 1.35725085e-08 0.00000000e+00)	0.00000000e+00
9.95            	(1.16368292e+00 1.32887318e-08 0.00000000e+00)	0.00000000e+00
10              	(1.16729231e+00 1.30053776e-08 0.00000000e+00)	0.00000000e+00
10.05           	(1.17088401e+00 1.28694854e-08 0.00000000e+00)	0.00000000e+00
10.1            	(1.17445813e+00 1.27274823e-08 0.00000000e+00)	0.00000000e+00
10.15           	(1.17801473e+00 1.25454349e-08 0.00000000e+00)	0.00000000e+00
10.2            	(1.18155393e+00 1.23284762e-08 0.00000000e+00)	0.00000000e+00
10.25           	(1.18507578e+00 1.20863855e-08 0.00000000e+00)	0.00000000e+00
10.3            	(1.18858040e+00 1.18256003e-08 0.00000000e+00)	0.00000000e+00
10.35           	(1.19206785e+00 1.15517418e-08 0.00000000e+00)	0.00000000e+00
10.4            	(1.19553824e+00 1.12692823e-08 0.00000000e+00)	0.00000000e+00
10.45           	(1.19899163e+00 1.09815924e-08 0.00000000e+00)	0.00000000e+00
10.5            	(1.20242812e+00 1.06909986e-08 0.00000000e+00)	0.00000000e+00
10.55           	(1.20584780e+00 1.03990517e-08 0.00000000e+00)	0.00000000e+00
10.6            	(1.20925074e+00 1.01067593e-08 0.00000000e+00)	0.00000000e+00
10.65           	(1.21263702e+00 9.81474454e-09 0.00000000e+00)	0.00000000e+00
10.7            	(1.21600674e+00 9.52336050e-09 0.00000000e+00)	0.00000000e+00
10.75           	(1.21935998e+00 9.23277086e-09 0.00000000e+00)	0.00000000e+00
10.8            	(1.22269681e+00 8.94309078e-09 0.00000000e+00)	0.00000000e+00
10.85           	(1.22601732e+00 8.65448916e-09 0.00000000e+00)	0.00000000e+00
10.9            	(1.22932159e+00 8.36705771e-09 0.00000000e+00)	0.00000000e+00
10.95           	(1.23260971e+00 8.08084058e-09 0.00000000e+00)	0.00000000e+00
11              	(1.23588174e+00 7.79596626e-09 0.00000000e+00)	0.00000000e+00
11.05           	(1.23913779e+00 7.43278575e-09 0.00000000e+00)	0.00000000e+00
11.1            	(1.24237792e+00 7.19263941e-09 0.00000000e+00)	0.00000000e+00
11.15           	(1.24560221e+00 6.96227900e-09 0.00000000e+00)	0.00000000e+00
11.2            	(1.24881074e+00 6.75791350e-09 0.00000000e+00)	0.00000000e+00
11.25           	(1.25200359e+00 6.56778936e-09 0.00000000e+00)	0.00000000e+00
11.3            	(1.25518084e+00 6.38026996e-09 0.00000000e+00)	0.00000000e+00
11.35           	(1.25834257e+00 5.97770608e-09 0.00000000e+00)	0.00000000e+00
11.4            	(1.26148887e+00 5.60587234e-09 0.00000000e+00)	0.00000000e+00
11.45           	(1.26461980e+00 5.33934693e-09 0.00000000e+00)	0.00000000e+00
11.5            	(1.26773543e+00 5.12573496e-09 0.00000000e+00)	0.00000000e+00
11.55           	(1.27083586e+00 4.89386197e-09 0.00000000e+00)	0.00000000e+00
11.6            	(1.27392114e+00 4.62840147e-09 0.00000000e+00)	0.00000000e+00
11.65           	(1.27699137e+00 4.34779676e-09 0.00000000e+00)	0.00000000e+00
11.7            	(1.28004662e+00 4.07196805e-09 0.00000000e+00)	0.00000000e+00
11.75           	(1.28308695e+00 3.80667486e-09 0.00000000e+00)	0.00000000e+00
11.8            	(1.28611246e+00 3.54760787e-09 0.00000000e+00)	0.00000000e+00
11.85           	(1.28912320e+00 3.28945806e-09 0.00000000e+00)	0.00000000e+00
11.9            	(1.29211926e+00 3.03040299e-09 0.00000000e+00)	0.00000000e+00
11.95           	(1.29510070e+00 2.77148008e-09 0.00000000e+00)	0.00000000e+00
12              	(1.29806761e+00 2.51427872e-09 0.00000000e+00)	0.00000000e+00
12.05           	(1.30102005e+00 2.25960121e-09 0.00000000e+00)	0.00000000e+00
12.1            	(1.30395810e+00 2.00747214e-09 0.00000000e+00)	0.00000000e+00
12.15           	(1.30688182e+00 1.75767808e-09 0.00000000e+00)	0.00000000e+00
12.2            	(1.30979130e+00 1.50988544e-09 0.00000000e+00)	0.00000000e+00
12.25           	(1.31268660e+00 1.26428325e-09 0.00000000e+00)	0.00000000e+00
12.3            	(1.31556780e+00 1.02086017e-09 0.00000000e+00)	0.00000000e+00
12.35           	(1.31843496e+00 7.79258905e-10 0.00000000e+00)	0.00000000e+00
12.4            	(1.32128815e+00 5.40085687e-10 0.00000000e+00)	0.00000000e+00
12.45           	(1.32412746e+00 5.10851547e-10 0.00000000e+00)	0.00000000e+00
12.5            	(1.32695293e+00 7.23865256e-10 0.00000000e+00)	0.00000000e+00
12.55           	(1.32976465e+00 9.30506126e-10 0.00000000e+00)	0.00000000e+00
12.6            	(1.33256269e+00 1.13009208e-09 0.00000000e+00)	0.00000000e+00
12.65           	(1.33534710e+00 1.32141667e-09 0.00000000e+00)	0.00000000e+00
12.7            	(1.33811797e+00 1.50305851e-09 0.00000000e+00)	0.00000000e+00
12.75           	(1.34087536e+00 1.67344132e-09 0.00000000e+00)	0.00000000e+00
12.8            	(1.34361933e+00 1.83109118e-09 0.00000000e+00)	0.00000000e+00
12.85           	(1.34634996e+00 1.97370744e-09 0.00000000e+00)	0.00000000e+00
12.9            	(1.34906730e+00 2.09844047e-09 0.00000000e+00)	0.00000000e+00
12.95           	(1.35177144e+00 2.20340886e-09 0.00000000e+00)	0.00000000e+00
13              	(1.35446243e+00 2.28609153e-09 0.00000000e+00)	0.00000000e+00
13.05           	(1.35714033e+00 2.34278537e-09 0.00000000e+00)	0.00000000e+00
13.1            	(1.35980523e+00 2.37098685e-09 0.00000000e+00)	0.00000000e+00
13.15           	(1.36245717e+00 2.36622986e-09 0.00000000e+00)	0.00000000e+00
13.2            	(1.36509623e+00 2.42364179e-09 0.00000000e+00)	0.00000000e+00
13.25           	(1.36772247e+00 3.23606368e-09 0.00000000e+00)	0.00000000e+00
13.3            	(1.37033595e+00 4.19358888e-09 0.00000000e+00)	0.00000000e+00
13.35           	(1.37293674e+00 5.31203244e-09 0.00000000e+00)	0.00000000e+00
13.4            	(1.37552490e+00 6.60852901e-09 0.00000000e+00)	0.00000000e+00
13.45           	(1.37810050e+00 8.09992160e-09 0.00000000e+00)	0.00000000e+00
13.5            	(1.38066360e+00 9.80318915e-09 0.00000000e+00)	0.00000000e+00
13.55           	(1.38321425e+00 1.17367107e-08 0.00000000e+00)	0.00000000e+00
13.6            	(1.38575253e+00 1.39203702e-08 0.00000000e+00)	0.00000000e+00
13.65           	(1.38827849e+00 1.63741502e-08 0.00000000e+00)	0.00000000e+00
13.7            	(1.39079221e+00 1.91175813e-08 0.00000000e+00)	0.00000000e+00
13.75           	(1.39329372e+00 2.21679704e-08 0.00000000e+00)	0.00000000e+00
13.8            	(1.39578311e+00 2.55461301e-08 0.00000000e+00)	0.00000000e+00
13.85           	(1.39826043e+00 2.92717455e-08 0.00000000e+00)	0.00000000e+00
13.9            	(1.40072573e+00 3.33642157e-08 0.00000000e+00)	0.00000000e+00
13.95           	(1.40317909e+00 3.78422074e-08 0.00000000e+00)	0.00000000e+00
14              	(1.40562056e+00 4.27237621e-08 0.00000000e+00)	0.00000000e+00
14.05           	(1.40805019e+00 4.80258974e-08 0.00000000e+00)	0.00000000e+00
14.1            	(1.41046805e+00 5.37647017e-08 0.00000000e+00)	0.00000000e+00
14.15           	(1.41287421e+00 5.99550865e-08 0.00000000e+00)	0.00000000e+00
14.2            	(1.41526870e+00 6.66108041e-08 0.00000000e+00)	0.00000000e+00
14.25           	(1.41765160e+00 7.37440286e-08 0.00000000e+00)	0.00000000e+00
14.3            	(1.42002296e+00 8.13655188e-08 0.00000000e+00)	0.00000000e+00
14.35           	(1.42238284e+00 8.94842511e-08 0.00000000e+00)	0.00000000e+00
14.4            	(1.42473130e+00 9.81076055e-08 0.00000000e+00)	0.00000000e+00
14.45           	(1.42706839e+00 1.07241167e-07 0.00000000e+00)	0.00000000e+00
14.5            	(1.42939417e+00 1.16888662e-07 0.00000000e+00)	0.00000000e+00
14.55           	(1.43170870e+00 1.27051942e-07 0.00000000e+00)	0.00000000e+00
14.6            	(1.43401203e+00 1.37730976e-07 0.00000000e+00)	0.00000000e+00
14.65           	(1.43630423e+00 1.48923867e-07 0.00000000e+00)	0.00000000e+00
14.7            	(1.43858533e+00 1.60626884e-07 0.00000000e+00)	0.00000000e+00
14.75           	(1.44085540e+00 1.72834278e-07 0.00000000e+00)	0.00000000e+00
14.8            	(1.44311450e+00 1.85538378e-07 0.00000000e+00)	0.00000000e+00
14.85           	(1.44536268e+00 1.98730225e-07 0.00000000e+00)	0.00000000e+00
14.9            	(1.44760000e+00 2.12399349e-07 0.00000000e+00)	0.00000000e+00
14.95           	(1.44982650e+00 2.26533651e-07 0.00000000e+00)	0.00000000e+00
15              	(1.45204224e+00 2.41119652e-07 0.00000000e+00)	0.00000000e+00
15.05           	(1.45424728e+00 2.56142506e-07 0.00000000e+00)	0.00000000e+00
15.1            	(1.45644167e+00 2.71586237e-07 0.00000000e+00)	0.00000000e+00
15.15           	(1.45862546e+00 2.87434074e-07 0.00000000e+00)	0.00000000e+00
15.2            	(1.46079870e+00 3.03668247e-07 0.00000000e+00)	0.00000000e+00
15.25           	(1.46296146e+00 3.20270190e-07 0.00000000e+00)	0.00000000e+00
15.3            	(1.46511377e+00 3.37220780e-07 0.00000000e+00)	0.00000000e+00
15.35           	(1.46725569e+00 3.54500402e-07 0.00000000e+00)	0.00000000e+00
15.4            	(1.46938728e+00 3.72089114e-07 0.00000000e+00)	0.00000000e+00
15.45           	(1.47150859e+00 3.89966771e-07 0.00000000e+00)	0.00000000e+00
15.5            	(1.47361966e+00 4.08113148e-07 0.00000000e+00)	0.00000000e+00
15.55           	(1.47572055e+00 4.26508060e-07 0.00000000e+00)	0.00000000e+00
15.6            	(1.47781130e+00 4.45131468e-07 0.00000000e+00)	0.00000000e+00
15.65           	(1.47989198e+00 4.63963578e-07 0.00000000e+00)	0.00000000e+00
15.7            	(1.48196262e+00 4.82984934e-07 0.00000000e+00)	0.00000000e+00
15.75           	(1.48402329e+00 5.02176421e-07 0.00000000e+00)	0.00000000e+00
15.8            	(1.48607402e+00 5.21519390e-07 0.00000000e+00)	0.00000000e+00
15.85           	(1.48811487e+00 5.40995902e-07 0.00000000e+00)	0.00000000e+00
15.9            	(1.49014589e+00 5.60588588e-07 0.00000000e+00)	0.00000000e+00
15.95           	(1.49216713e+00 5.80280707e-07 0.00000000e+00)	0.00000000e+00
16              	(1.49417863e+00 6.00056201e-07 0.00000000e+00)	0.00000000e+00
16.05           	(1.49618044e+00 6.19899716e-07 0.00000000e+00)	0.00000000e+00
