# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
16.55           	-1.04342954e-01
16.6            	-1.04465901e-01
16.65           	-1.04588258e-01
16.7            	-1.04710029e-01
16.75           	-1.04831215e-01
16.8            	-1.04951821e-01
16.85           	-1.05071849e-01
16.9            	-1.05191302e-01
16.95           	-1.05310182e-01
17              	-1.05428493e-01
17.05           	-1.05546237e-01
17.1            	-1.05663418e-01
17.15           	-1.05780037e-01
17.2            	-1.05896098e-01
17.25           	-1.06011603e-01
17.3            	-1.06126556e-01
17.35           	-1.06240959e-01
17.4            	-1.06354814e-01
17.45           	-1.06468125e-01
17.5            	-1.06580893e-01
17.55           	-1.06693123e-01
17.6            	-1.06804815e-01
17.65           	-1.06915974e-01
17.7            	-1.07026602e-01
17.75           	-1.07136700e-01
17.8            	-1.07246273e-01
17.85           	-1.07355322e-01
17.9            	-1.07463850e-01
17.95           	-1.07571860e-01
18              	-1.07679354e-01
18.05           	-1.07786334e-01
18.1            	-1.07892804e-01
18.15           	-1.07998766e-01
18.2            	-1.08104222e-01
18.25           	-1.08209174e-01
18.3            	-1.08313626e-01
18.35           	-1.08417580e-01
18.4            	-1.08521037e-01
18.45           	-1.08624001e-01
18.5            	-1.08726475e-01
18.55           	-1.08828459e-01
18.6            	-1.08929957e-01
18.65           	-1.09030972e-01
18.7            	-1.09131505e-01
18.75           	-1.09231559e-01
18.8            	-1.09331136e-01
18.85           	-1.09430239e-01
18.9            	-1.09528870e-01
18.95           	-1.09627031e-01
19              	-1.09724725e-01
19.05           	-1.09821953e-01
19.1            	-1.09918719e-01
19.15           	-1.10015024e-01
19.2            	-1.10110870e-01
19.25           	-1.10206261e-01
19.3            	-1.10301197e-01
19.35           	-1.10395682e-01
19.4            	-1.10489718e-01
19.45           	-1.10583306e-01
19.5            	-1.10676450e-01
19.55           	-1.10769150e-01
19.6            	-1.10861410e-01
19.65           	-1.10953231e-01
19.7            	-1.11044615e-01
19.75           	-1.11135566e-01
19.8            	-1.11226084e-01
19.85           	-1.11316172e-01
19.9            	-1.11405832e-01
19.95           	-1.11495067e-01
20              	-1.11583877e-01
