# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Weight field  : p
# Time          	weightedAverage(phi)	weightedAverage(U)	weightedAverage(p)
5.8             	-5.70777135e-03	(5.70777135e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
5.85            	-5.74274634e-03	(5.74274634e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
5.9             	-5.77754620e-03	(5.77754620e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
5.95            	-5.81217190e-03	(5.81217190e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6               	-5.84662440e-03	(5.84662440e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.05            	-5.88090463e-03	(5.88090463e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.1             	-5.91501354e-03	(5.91501354e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.15            	-5.94895205e-03	(5.94895205e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.2             	-5.98272108e-03	(5.98272108e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.25            	-6.01632156e-03	(6.01632156e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.3             	-6.04975440e-03	(6.04975440e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.35            	-6.08302049e-03	(6.08302049e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.4             	-6.11612072e-03	(6.11612072e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.45            	-6.14905599e-03	(6.14905599e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.5             	-6.18182717e-03	(6.18182717e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.55            	-6.21443513e-03	(6.21443513e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.6             	-6.24688075e-03	(6.24688075e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.65            	-6.27916490e-03	(6.27916490e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.7             	-6.31128843e-03	(6.31128843e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.75            	-6.34325218e-03	(6.34325218e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.8             	-6.37505701e-03	(6.37505701e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.85            	-6.40670375e-03	(6.40670375e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.9             	-6.43819324e-03	(6.43819324e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
6.95            	-6.46952632e-03	(6.46952632e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7               	-6.50070378e-03	(6.50070378e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.05            	-6.53172644e-03	(6.53172644e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.1             	-6.56259513e-03	(6.56259513e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.15            	-6.59331065e-03	(6.59331065e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.2             	-6.62387381e-03	(6.62387381e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.25            	-6.65428540e-03	(6.65428540e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.3             	-6.68454620e-03	(6.68454620e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.35            	-6.71465703e-03	(6.71465703e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.4             	-6.74461864e-03	(6.74461864e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.45            	-6.77443181e-03	(6.77443181e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.5             	-6.80409732e-03	(6.80409732e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.55            	-6.83361593e-03	(6.83361593e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.6             	-6.86298840e-03	(6.86298840e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.65            	-6.89221549e-03	(6.89221549e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.7             	-6.92129796e-03	(6.92129796e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.75            	-6.95023655e-03	(6.95023655e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.8             	-6.97903201e-03	(6.97903201e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.85            	-7.00768508e-03	(7.00768508e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.9             	-7.03619649e-03	(7.03619649e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
7.95            	-7.06456697e-03	(7.06456697e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8               	-7.09279725e-03	(7.09279725e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.05            	-7.12088804e-03	(7.12088804e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.1             	-7.14884008e-03	(7.14884008e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
